lp,size_in,size_out_bits,size_out_bytes,time,changed_bits,type
1, 4, 37, 5, 209, 15, 0
2, 4, 29, 4, 163, 2, 0
3, 4, 24, 3, 145, 5, 0
4, 4, 23, 3, 144, 2, 0
5, 4, 17, 3, 141, 3, 0
6, 4, 13, 2, 124, 1, 0
7, 4, 12, 2, 128, 4, 0
8, 4, 14, 2, 126, 1, 0
9, 4, 12, 2, 122, 3, 0
10, 4, 8, 1, 113, 1, 0
11, 4, 8, 1, 114, 5, 0
12, 4, 12, 2, 119, 1, 0
13, 4, 11, 2, 118, 3, 0
14, 4, 10, 2, 115, 1, 0
15, 4, 11, 2, 118, 4, 0
16, 4, 9, 2, 117, 1, 0
17, 4, 8, 1, 110, 3, 0
18, 4, 10, 2, 116, 1, 0
19, 4, 29, 4, 151, 8, 0
20, 4, 18, 3, 133, 1, 0
21, 4, 16, 2, 124, 3, 0
22, 4, 13, 2, 123, 1, 0
23, 4, 12, 2, 122, 4, 0
24, 4, 12, 2, 116, 1, 0
25, 4, 9, 2, 119, 3, 0
26, 4, 11, 2, 116, 1, 0
27, 4, 14, 2, 119, 5, 0
28, 4, 10, 2, 118, 2, 0
29, 4, 10, 2, 114, 3, 0
30, 4, 11, 2, 118, 2, 0
31, 4, 10, 2, 117, 4, 0
32, 4, 11, 2, 116, 2, 0
33, 4, 10, 2, 114, 2, 0
34, 4, 10, 2, 113, 2, 0
35, 4, 18, 3, 131, 5, 0
36, 4, 14, 2, 122, 2, 0
37, 4, 10, 2, 118, 2, 0
38, 4, 11, 2, 118, 2, 0
39, 4, 12, 2, 118, 4, 0
40, 4, 11, 2, 116, 1, 0
41, 4, 8, 1, 111, 3, 0
42, 4, 10, 2, 114, 2, 0
43, 4, 15, 2, 124, 5, 0
44, 4, 11, 2, 118, 2, 0
45, 4, 11, 2, 118, 2, 0
46, 4, 11, 2, 119, 2, 0
47, 4, 12, 2, 117, 4, 0
48, 4, 10, 2, 113, 2, 0
49, 4, 9, 2, 116, 3, 0
50, 4, 10, 2, 114, 2, 0
51, 4, 24, 3, 137, 7, 0
52, 4, 16, 2, 124, 1, 0
53, 4, 13, 2, 123, 2, 0
54, 4, 12, 2, 126, 2, 0
55, 4, 14, 2, 121, 3, 0
56, 4, 8, 1, 109, 2, 0
57, 4, 9, 2, 114, 2, 0
58, 4, 9, 2, 112, 1, 0
59, 4, 15, 2, 125, 5, 0
60, 4, 12, 2, 120, 1, 0
61, 4, 12, 2, 118, 3, 0
62, 4, 10, 2, 115, 1, 0
63, 4, 12, 2, 118, 4, 0
64, 4, 8, 1, 110, 1, 0
65, 4, 11, 2, 118, 3, 0
66, 4, 10, 2, 116, 1, 0
67, 4, 20, 3, 134, 6, 0
68, 4, 14, 2, 123, 1, 0
69, 4, 13, 2, 120, 3, 0
70, 4, 11, 2, 119, 1, 0
71, 4, 11, 2, 115, 4, 0
72, 4, 11, 2, 118, 2, 0
73, 4, 11, 2, 116, 3, 0
74, 4, 9, 2, 115, 2, 0
75, 4, 15, 2, 123, 5, 0
76, 4, 11, 2, 119, 2, 0
77, 4, 12, 2, 118, 3, 0
78, 4, 10, 2, 116, 2, 0
79, 4, 11, 2, 117, 4, 0
80, 4, 7, 1, 110, 1, 0
81, 4, 10, 2, 117, 2, 0
82, 4, 8, 1, 110, 1, 0
83, 4, 32, 4, 154, 8, 0
84, 4, 20, 3, 138, 1, 0
85, 4, 15, 2, 125, 2, 0
86, 4, 13, 2, 122, 1, 0
87, 4, 12, 2, 120, 3, 0
88, 4, 8, 1, 111, 1, 0
89, 4, 11, 2, 120, 2, 0
90, 4, 10, 2, 115, 1, 0
91, 4, 14, 2, 124, 4, 0
92, 4, 8, 1, 111, 1, 0
93, 4, 11, 2, 119, 2, 0
94, 4, 10, 2, 118, 1, 0
95, 4, 10, 2, 113, 3, 0
96, 4, 10, 2, 114, 1, 0
97, 4, 9, 2, 110, 2, 0
98, 4, 4, 1, 102, 1, 0
99, 4, 17, 3, 130, 5, 0
100, 4, 12, 2, 120, 1, 0
101, 4, 7, 1, 108, 2, 0
102, 4, 9, 2, 114, 1, 0
103, 4, 12, 2, 118, 3, 0
104, 4, 10, 2, 116, 1, 0
105, 4, 10, 2, 117, 2, 0
106, 4, 8, 1, 110, 1, 0
107, 4, 18, 3, 132, 5, 0
108, 4, 12, 2, 120, 1, 0
109, 4, 10, 2, 119, 3, 0
110, 4, 8, 1, 110, 2, 0
111, 4, 12, 2, 120, 4, 0
112, 4, 8, 1, 111, 2, 0
113, 4, 10, 2, 118, 3, 0
114, 4, 10, 2, 118, 2, 0
115, 4, 24, 3, 141, 7, 0
116, 4, 17, 3, 132, 2, 0
117, 4, 15, 2, 124, 3, 0
118, 4, 11, 2, 119, 2, 0

