lp,size_in,size_out_bits,size_out_bytes,time,changed_bits,type
1, 4, 17, 3, 105, 7, 0
2, 4, 17, 3, 105, 6, 0
3, 4, 16, 2, 100, 6, 0
4, 4, 17, 3, 106, 6, 0
5, 4, 14, 2, 98, 6, 0
6, 4, 15, 2, 99, 4, 0
7, 4, 17, 3, 107, 6, 0
8, 4, 12, 2, 97, 5, 0
9, 4, 16, 2, 100, 5, 0
10, 4, 13, 2, 99, 3, 0
11, 4, 16, 2, 100, 5, 0
12, 4, 15, 2, 100, 3, 0
13, 4, 15, 2, 100, 4, 0
14, 4, 16, 2, 99, 3, 0
15, 4, 13, 2, 99, 3, 0
16, 4, 17, 3, 105, 6, 0
17, 4, 15, 2, 100, 6, 0
18, 4, 16, 2, 100, 4, 0
19, 4, 15, 2, 100, 6, 0
20, 4, 15, 2, 100, 4, 0
21, 4, 15, 2, 100, 6, 0
22, 4, 16, 2, 100, 3, 0
23, 4, 15, 2, 100, 5, 0
24, 4, 16, 2, 100, 4, 0
25, 4, 14, 2, 99, 5, 0
26, 4, 13, 2, 98, 3, 0
27, 4, 15, 2, 99, 5, 0
28, 4, 16, 2, 100, 4, 0
29, 4, 15, 2, 101, 4, 0
30, 4, 15, 2, 100, 2, 0
31, 4, 15, 2, 100, 3, 0
32, 4, 16, 2, 100, 6, 0
33, 4, 16, 2, 100, 7, 0
34, 4, 16, 2, 101, 4, 0
35, 4, 14, 2, 100, 5, 0
36, 4, 16, 2, 100, 5, 0
37, 4, 16, 2, 100, 6, 0
38, 4, 15, 2, 113, 3, 0
39, 4, 15, 2, 101, 4, 0
40, 4, 14, 2, 99, 4, 0
41, 4, 13, 2, 98, 5, 0
42, 4, 13, 2, 98, 2, 0
43, 4, 10, 2, 95, 3, 0
44, 4, 15, 2, 100, 3, 0
45, 4, 14, 2, 99, 3, 0
46, 4, 11, 2, 95, 2, 0
47, 4, 13, 2, 99, 2, 0
48, 4, 16, 2, 99, 5, 0
49, 4, 14, 2, 99, 5, 0
50, 4, 15, 2, 100, 4, 0
51, 4, 15, 2, 100, 4, 0
52, 4, 15, 2, 99, 4, 0
53, 4, 15, 2, 99, 5, 0
54, 4, 15, 2, 100, 3, 0
55, 4, 15, 2, 100, 4, 0
56, 4, 18, 3, 106, 6, 0
57, 4, 16, 2, 99, 7, 0
58, 4, 18, 3, 107, 5, 0
59, 4, 17, 3, 106, 6, 0
60, 4, 19, 3, 108, 5, 0
61, 4, 19, 3, 108, 6, 0
62, 4, 19, 3, 108, 4, 0
63, 4, 18, 3, 107, 5, 0
64, 4, 19, 3, 107, 7, 0
65, 4, 20, 3, 109, 8, 0
66, 4, 17, 3, 106, 6, 0
67, 4, 18, 3, 107, 7, 0
68, 4, 14, 2, 99, 6, 0
69, 4, 18, 3, 107, 7, 0
70, 4, 17, 3, 107, 5, 0
71, 4, 18, 3, 107, 6, 0
72, 4, 16, 2, 100, 5, 0
73, 4, 19, 3, 108, 6, 0
74, 4, 18, 3, 107, 4, 0
75, 4, 18, 3, 107, 5, 0
76, 4, 18, 3, 106, 4, 0
77, 4, 19, 3, 108, 5, 0
78, 4, 17, 3, 105, 3, 0
79, 4, 12, 2, 97, 4, 0
80, 4, 12, 2, 97, 5, 0
81, 4, 17, 3, 106, 6, 0
82, 4, 19, 3, 109, 5, 0
83, 4, 18, 3, 107, 5, 0
84, 4, 18, 3, 107, 5, 0
85, 4, 18, 3, 107, 5, 0
86, 4, 17, 3, 106, 4, 0
87, 4, 16, 2, 101, 4, 0
88, 4, 18, 3, 106, 5, 0
89, 4, 18, 3, 107, 5, 0
90, 4, 18, 3, 107, 4, 0
91, 4, 18, 3, 107, 4, 0
92, 4, 17, 3, 106, 4, 0
93, 4, 16, 2, 100, 4, 0
94, 4, 17, 3, 106, 3, 0
95, 4, 18, 3, 107, 3, 0
96, 4, 19, 3, 107, 6, 0
97, 4, 15, 2, 100, 6, 0
98, 4, 18, 3, 107, 5, 0
99, 4, 19, 3, 108, 6, 0
100, 4, 17, 3, 106, 5, 0

