lp,size_in,size_out_bits,size_out_bytes,time,changed_bits,type
1, 40, 322, 41, 1777, 38, 0
2, 40, 247, 31, 1544, 10, 0
3, 40, 187, 24, 1421, 7, 0
4, 40, 156, 20, 1345, 9, 0
5, 40, 112, 14, 1230, 9, 0
6, 40, 84, 11, 1161, 0, 0
7, 40, 76, 10, 1148, 9, 0
8, 40, 74, 10, 1153, 3, 0
9, 40, 54, 7, 1100, 12, 0
10, 40, 41, 6, 1065, 0, 0
11, 40, 54, 7, 1086, 12, 0
12, 40, 37, 5, 1018, 0, 0
13, 40, 36, 5, 1006, 12, 0
14, 40, 32, 4, 1002, 0, 0
15, 40, 39, 5, 1025, 12, 0
16, 40, 35, 5, 1015, 0, 0
17, 40, 34, 5, 1024, 12, 0
18, 40, 32, 4, 996, 0, 0
19, 40, 39, 5, 1015, 12, 0
20, 40, 31, 4, 1004, 0, 0
21, 40, 38, 5, 1006, 12, 0
22, 40, 33, 5, 999, 0, 0
23, 40, 33, 5, 1013, 8, 0
24, 40, 37, 5, 1019, 4, 0
25, 40, 36, 5, 1013, 12, 0
26, 40, 32, 4, 999, 0, 0
27, 40, 40, 5, 1021, 12, 0
28, 40, 33, 5, 1011, 12, 0
29, 40, 33, 5, 1010, 8, 0
30, 40, 31, 4, 1008, 8, 0
31, 40, 40, 5, 1022, 12, 0
32, 40, 33, 5, 1002, 12, 0
33, 40, 30, 4, 987, 0, 0
34, 40, 50, 7, 1034, 11, 0
35, 40, 39, 5, 1020, 7, 0
36, 40, 34, 5, 1018, 12, 0
37, 40, 27, 4, 991, 0, 0
38, 40, 32, 4, 1007, 8, 0
39, 40, 30, 4, 1001, 8, 0
40, 40, 26, 4, 988, 0, 0
41, 40, 45, 6, 1036, 9, 0
42, 40, 28, 4, 988, 9, 0
43, 40, 37, 5, 1015, 8, 0
44, 40, 30, 4, 998, 8, 0
45, 40, 28, 4, 985, 0, 0
46, 40, 54, 7, 1045, 12, 0
47, 40, 30, 4, 999, 12, 0
48, 40, 43, 6, 1032, 11, 0
49, 40, 30, 4, 1002, 11, 0
50, 40, 37, 5, 1013, 11, 0
51, 40, 28, 4, 997, 11, 0
52, 40, 29, 4, 986, 0, 0
53, 40, 27, 4, 989, 0, 0
54, 40, 40, 5, 1014, 8, 0
55, 40, 49, 7, 1049, 7, 0
56, 40, 30, 4, 992, 9, 0
57, 40, 28, 4, 990, 0, 0
58, 40, 25, 4, 982, 0, 0
59, 40, 40, 5, 1026, 8, 0
60, 40, 56, 7, 1059, 10, 0
61, 40, 29, 4, 984, 12, 0
62, 40, 28, 4, 991, 0, 0
63, 40, 37, 5, 1018, 8, 0
64, 40, 43, 6, 1029, 4, 0
65, 40, 45, 6, 1034, 15, 0
66, 40, 31, 4, 997, 3, 0
67, 40, 54, 7, 1048, 12, 0
68, 40, 73, 10, 1090, 10, 0
69, 40, 37, 5, 1022, 18, 0
70, 40, 33, 5, 1022, 0, 0
71, 40, 45, 6, 1038, 12, 0
72, 40, 33, 5, 1011, 12, 0
73, 40, 38, 5, 1024, 9, 0
74, 40, 29, 4, 1000, 9, 0
75, 40, 36, 5, 1019, 9, 0
76, 40, 31, 4, 1003, 9, 0
77, 40, 34, 5, 1016, 9, 0
78, 40, 31, 4, 1008, 9, 0
79, 40, 32, 4, 1007, 9, 0
80, 40, 30, 4, 997, 0, 0
81, 40, 41, 6, 1015, 3, 0
82, 40, 42, 6, 1023, 6, 0
83, 40, 32, 4, 1004, 0, 0
84, 40, 29, 4, 991, 0, 0
85, 40, 27, 4, 996, 0, 0
86, 40, 26, 4, 990, 0, 0
87, 40, 25, 4, 989, 0, 0
88, 40, 41, 6, 1018, 4, 0
89, 40, 25, 4, 988, 4, 0
90, 40, 23, 3, 973, 0, 0
91, 40, 52, 7, 1042, 6, 0
92, 40, 21, 3, 988, 6, 0
93, 40, 51, 7, 1033, 7, 0
94, 40, 26, 4, 985, 7, 0
95, 40, 25, 4, 993, 0, 0
96, 40, 37, 5, 1001, 3, 0
97, 40, 25, 4, 994, 3, 0
98, 40, 24, 3, 971, 0, 0
99, 40, 94, 12, 1121, 17, 0
100, 40, 28, 4, 1001, 17, 0
101, 40, 44, 6, 1035, 8, 0
102, 40, 29, 4, 987, 8, 0

