lp,size_in,size_out_bits,size_out_bytes,time,changed_bits,type
1, 40, 41, 6, 776, 8, 0
2, 40, 40, 5, 771, 0, 0
3, 40, 44, 6, 783, 12, 0
4, 40, 40, 5, 770, 0, 0
5, 40, 40, 5, 770, 0, 0
6, 40, 49, 7, 789, 11, 0
7, 40, 44, 6, 783, 12, 0
8, 40, 40, 5, 770, 0, 0
9, 40, 40, 5, 771, 0, 0
10, 40, 41, 6, 775, 8, 0
11, 40, 40, 5, 771, 0, 0
12, 40, 40, 5, 770, 0, 0
13, 40, 43, 6, 781, 9, 0
14, 40, 40, 5, 771, 0, 0
15, 40, 41, 6, 776, 8, 0
16, 40, 40, 5, 770, 0, 0
17, 40, 40, 5, 770, 0, 0
18, 40, 51, 7, 795, 12, 0
19, 40, 40, 5, 770, 0, 0
20, 40, 49, 7, 789, 11, 0
21, 40, 40, 5, 770, 0, 0
22, 40, 49, 7, 789, 11, 0
23, 40, 40, 5, 770, 0, 0
24, 40, 40, 5, 771, 0, 0
25, 40, 40, 5, 771, 0, 0
26, 40, 41, 6, 776, 8, 0
27, 40, 43, 6, 781, 9, 0
28, 40, 40, 5, 771, 0, 0
29, 40, 40, 5, 771, 0, 0
30, 40, 40, 5, 771, 0, 0
31, 40, 41, 6, 776, 8, 0
32, 40, 51, 7, 795, 12, 0
33, 40, 40, 5, 771, 0, 0
34, 40, 40, 5, 771, 0, 0
35, 40, 41, 6, 776, 8, 0
36, 40, 44, 6, 783, 12, 0
37, 40, 50, 7, 794, 3, 0
38, 40, 40, 5, 771, 0, 0
39, 40, 51, 7, 794, 12, 0
40, 40, 81, 11, 846, 18, 0
41, 40, 40, 5, 771, 0, 0
42, 40, 40, 5, 770, 0, 0
43, 40, 51, 7, 795, 12, 0
44, 40, 40, 5, 770, 0, 0
45, 40, 43, 6, 781, 9, 0
46, 40, 40, 5, 771, 0, 0
47, 40, 43, 6, 781, 9, 0
48, 40, 40, 5, 770, 0, 0
49, 40, 43, 6, 781, 9, 0
50, 40, 40, 5, 770, 0, 0
51, 40, 43, 6, 781, 9, 0
52, 40, 43, 6, 781, 9, 0
53, 40, 51, 7, 795, 12, 0
54, 40, 44, 6, 783, 12, 0
55, 40, 44, 6, 783, 12, 0
56, 40, 43, 6, 781, 9, 0
57, 40, 43, 6, 781, 9, 0
58, 40, 44, 6, 783, 12, 0
59, 40, 44, 6, 784, 12, 0
60, 40, 41, 6, 776, 8, 0
61, 40, 44, 6, 784, 12, 0
62, 40, 44, 6, 783, 12, 0
63, 40, 59, 8, 810, 14, 0
64, 40, 44, 6, 783, 12, 0
65, 40, 49, 7, 789, 11, 0
66, 40, 44, 6, 783, 12, 0
67, 40, 44, 6, 783, 12, 0
68, 40, 43, 6, 781, 9, 0
69, 40, 44, 6, 783, 12, 0
70, 40, 44, 6, 783, 12, 0
71, 40, 73, 10, 834, 13, 0
72, 40, 44, 6, 783, 12, 0
73, 40, 65, 9, 822, 16, 0
74, 40, 44, 6, 784, 12, 0
75, 40, 41, 6, 776, 8, 0
76, 40, 44, 6, 783, 12, 0
77, 40, 44, 6, 784, 12, 0
78, 40, 59, 8, 809, 14, 0
79, 40, 40, 5, 771, 0, 0
80, 40, 40, 5, 771, 0, 0
81, 40, 51, 7, 795, 12, 0
82, 40, 40, 5, 770, 0, 0
83, 40, 43, 6, 781, 9, 0
84, 40, 40, 5, 771, 0, 0
85, 40, 43, 6, 781, 9, 0
86, 40, 40, 5, 771, 0, 0
87, 40, 43, 6, 780, 9, 0
88, 40, 40, 5, 770, 0, 0
89, 40, 43, 6, 781, 9, 0
90, 40, 40, 5, 771, 0, 0
91, 40, 43, 6, 781, 9, 0
92, 40, 40, 5, 771, 0, 0
93, 40, 43, 6, 780, 9, 0
94, 40, 40, 5, 770, 0, 0
95, 40, 43, 6, 781, 9, 0
96, 40, 40, 5, 771, 0, 0
97, 40, 43, 6, 781, 9, 0
98, 40, 43, 6, 781, 9, 0
99, 40, 44, 6, 784, 12, 0
100, 40, 44, 6, 783, 12, 0
101, 40, 49, 7, 804, 11, 0

